Customer ID,Visits,Items Bought,Spending
29528,1,19,363.61
2240,1,32,344
22742,2,22,325.62
28144,1,33,281.85
29192,1,11,252.8
29860,1,15,251.73
19904,1,14,242
3778,1,40,238
538,4,29,223.76
11088,1,13,222
25538,1,15,195
27792,1,9,185.54
29750,1,12,181
22966,1,12,180
25940,3,18,166
28124,1,15,153
7896,2,24,138.96
28482,1,10,130
2436,1,8,128.25
950,3,10,127.18
236,2,16,127.12
28052,1,15,127
29648,3,11,124.99
27956,1,17,121.44
23224,2,12,118.5
29776,1,4,116
30530,1,6,116
28434,1,9,110.4
29092,1,2,109.8
25004,1,18,109
30298,2,19,108.7
29600,1,9,107
4876,1,12,105.57
5224,4,11,105.39
3954,1,10,105.08
14296,7,12,103
28936,1,15,102
29356,1,8,101
840,1,4,97.43
29832,1,5,96
25724,1,7,95.82
9616,1,7,95.5
28532,1,8,94
4056,1,3,90
5612,1,8,89.4
25980,1,8,88
29994,1,11,86.7
28996,3,15,86.14
24642,1,10,86
2990,1,3,86
3746,1,4,84.46
13358,1,3,84.29
12958,5,5,83
29380,1,5,82.5
1208,2,6,81.75
184,2,7,81.19
28296,1,7,81
25340,1,6,80.82
28366,1,7,79
29734,1,7,78.5
3198,1,6,76.2
27948,1,4,76
11176,2,10,75
4168,1,4,73.61
12006,2,6,73
5362,1,8,72.7
1848,1,6,72.5
8936,2,6,72
1656,1,7,71
4012,1,6,69
27000,1,7,68.2
3628,1,2,68.11
27416,1,12,67.69
3506,1,10,65.4
29608,1,2,65.1
2934,1,4,64.95
27152,1,7,64.9
3482,1,1,64.9
924,1,10,64.75
28808,1,5,64.31
29676,1,4,64
19126,1,12,63
30576,1,6,63
17860,1,3,62.5
25168,1,4,62
4024,1,4,62
30146,1,6,61.42
28920,1,9,61.2
5162,1,12,61.2
25376,1,9,60.75
29714,1,2,60.62
21150,1,4,60.09
16090,1,3,60
26680,1,2,60
3190,1,10,60
3714,2,6,60
4296,1,3,60
30522,1,3,59.97
11338,1,1,59.95
29564,1,1,59.95
30290,1,4,59.54
2662,2,8,59.06
17762,1,6,59
20720,1,8,59
21472,1,2,59
29516,1,2,59
27900,1,4,58.5
240,2,7,58.49
30406,1,6,57
11004,1,3,56.99
26616,1,3,56.42
21142,1,4,56.23
474,1,5,56.18
12374,1,5,56.13
5646,1,2,56
3606,1,4,55.98
20580,1,7,55.9
3910,1,5,55.65
4040,1,8,55.6
2402,1,7,55.4
13002,1,10,55
13290,1,6,55
13676,1,1,55
25912,1,1,55
27112,1,1,55
29304,1,2,55
30386,1,2,54.98
13350,1,6,54.5
21362,1,5,54
28024,1,3,53.95
3926,1,6,53.89
30724,1,5,53.18
11500,1,4,53.06
20484,2,3,52.97
1230,1,3,52.16
30668,1,7,52
29636,1,8,51.7
22410,1,3,51.53
30648,1,10,51.3
10076,1,12,51
28742,1,7,51
29816,1,3,51
5366,1,3,51
5500,1,10,51
5458,2,4,50.8
21334,1,5,50.35
29946,1,4,50.35
10688,1,4,50
17992,1,5,50
24106,1,4,50
29456,1,5,50
29784,1,4,50
3830,1,10,50
7786,1,6,50
20828,1,3,49.92
7790,1,7,49.9
26780,1,8,49.5
29448,1,5,49.5
30254,1,6,49.5
4064,1,4,49.5
27710,1,2,49.49
29124,1,5,49.29
14474,1,4,49.28
27840,1,9,49.18
27490,1,4,49
29044,1,5,49
30458,1,4,49
9652,1,5,49
24924,1,4,48.8
27204,1,5,48.54
25426,1,9,48.5
25596,1,4,48.5
28844,1,6,48.4
22642,1,4,48
27860,1,2,48
30502,1,6,48
23286,1,5,47.9
23982,1,3,47.45
28292,1,3,47.35
29480,1,10,47.12
3826,1,5,47
30374,1,3,46.95
29412,1,3,46.66
2370,2,4,46.55
22768,1,3,46.5
14940,1,3,46
20772,1,8,46
23776,1,2,46
29742,1,6,46
726,1,3,45.58
734,1,3,45.58
908,1,3,45.58
24510,1,7,45.5
2586,1,7,45.5
27996,1,3,45.5
17884,1,3,45.47
21078,1,2,45.04
13158,1,5,45
22850,1,6,45
2414,1,3,45
25672,2,3,45
28096,1,3,45
29966,1,2,44.99
30676,1,7,44.9
1672,1,4,44.53
25120,1,3,44
8444,1,4,44
790,1,4,43.99
29812,1,3,43.5
30494,1,8,43.18
20588,1,3,43
25920,1,1,43
30478,1,7,43
9692,1,8,42.5
28694,1,4,42.38
9232,2,7,41.5
29836,1,4,41.22
27824,1,1,41.01
26712,1,5,41
27120,1,4,41
30242,1,7,41
3984,1,2,41
28636,1,4,40.61
364,2,2,40.43
29368,1,7,40.36
29160,1,9,40.32
28156,1,2,40
7602,1,3,40
23670,2,6,39
28454,1,3,39
29930,1,3,39
344,1,2,38.92
26112,1,6,38.9
12620,2,7,38.5
29388,1,3,38.5
15446,1,4,38.4
15780,1,9,38.25
13042,1,4,38
1602,1,4,38
29792,1,5,38
30466,1,5,38
1200,1,1,37.98
24114,1,2,37.92
3378,1,3,37.9
1630,1,2,37.88
6186,1,5,37.36
2350,1,3,37.25
5516,1,4,36.9
26660,1,5,36.4
11236,1,4,36.37
22666,1,6,36.25
26068,1,4,36
3706,1,2,36
20514,1,6,35.7
3538,2,4,35.65
30134,1,2,35.4
26036,1,2,35
29500,1,5,35
29804,1,1,35
30430,1,1,35
3996,1,1,35
29726,1,2,34.95
23164,1,5,34.75
1924,2,2,34.71
8420,2,6,34.5
256,1,2,34.19
3246,1,3,34.11
3930,1,2,34.11
3882,1,2,33.15
21410,1,3,33
30050,1,2,33
3024,1,3,33
25458,1,5,32.75
22906,1,4,32.63
28856,1,1,32.56
30142,1,3,32.48
17812,1,1,32.18
22818,1,1,32.04
10604,1,1,32
22914,1,2,32
30282,1,4,32
28402,1,1,31.94
1006,2,4,31.88
29232,1,1,31.79
10472,1,5,31.5
10874,1,9,31.5
12146,1,4,31.5
696,1,4,31.4
28568,1,6,31.26
13532,1,2,31
29914,1,2,30.99
28714,1,6,30.9
2390,1,1,30.5
25664,1,1,30.5
30094,1,3,30.5
19324,1,1,30.17
13126,1,3,30
13448,1,1,30
14144,1,6,30
19888,1,6,30
20358,1,6,30
21000,1,4,30
21674,1,4,30
22550,1,4,30
23700,1,6,30
2598,1,1,30
27436,1,4,30
3292,1,2,30
3782,1,3,30
4826,1,6,30
8322,1,6,30
29616,1,1,29.5
596,1,2,29.23
17774,1,1,29
20816,1,1,29
9252,1,1,29
30074,1,2,28.56
3312,1,2,28.02
20208,1,4,28
6356,1,2,28
6966,1,4,28
19880,1,4,27.8
29958,1,4,27.75
12202,1,1,27.5
29428,1,1,27.5
22878,1,2,27.06
11788,1,4,27
22866,1,2,27
27380,1,2,27
28968,1,3,27
3060,1,2,27
27376,1,3,26.91
23134,1,4,26.9
28628,1,6,26.76
3594,1,2,26.53
14008,1,4,26
21780,1,4,26
25570,1,4,26
4374,1,2,26
2452,1,2,25.98
4052,1,3,25.98
16474,1,2,25.5
2520,2,3,25.5
28786,1,3,25.5
27522,1,6,25.42
62,2,2,25.3
2770,1,2,25
7450,1,2,25
22470,1,4,24.95
29918,1,4,24.5
20204,1,2,24
20458,1,2,24
27754,1,3,24
29768,1,2,24
5568,1,4,24
7256,1,4,24
3850,1,3,23.82
3044,1,4,23.8
5354,1,6,23.7
224,1,2,23.5
16462,1,3,23.31
3690,1,2,23.28
6012,2,8,23.26
26326,1,2,23
30042,1,2,23
12246,1,6,22.8
14750,1,2,22.76
10012,1,3,22.5
27228,1,3,22.5
6770,1,2,22.2
11716,1,3,22
12874,1,4,22
15398,1,4,22
15488,1,1,22
18060,1,4,22
22776,1,2,22
2538,1,2,22
25392,1,4,22
5114,2,2,22
5896,1,4,22
6514,1,2,22
19452,1,1,21.95
23154,1,4,21.9
24278,1,4,21.9
24878,1,2,21.66
26510,1,2,21.66
2002,1,2,21.65
17722,1,4,21.64
27932,1,4,21.64
6666,1,1,21.64
26562,1,2,21.6
6496,1,4,21.56
6750,1,2,21.56
28224,1,3,21.5
6690,1,1,21.45
23342,1,3,21.4
12262,1,3,21.25
6066,1,3,21.12
3574,1,3,21.02
12750,1,3,20.97
11304,1,4,20.9
2918,1,3,20.66
26992,1,1,20.62
28512,1,3,20.61
29856,1,2,20.5
5676,1,3,20.5
1438,1,1,20.38
29220,1,3,20.25
12920,1,2,20.2
25306,1,2,20.04
8530,1,1,20.03
10176,1,2,20
12378,1,2,20
14374,1,2,20
14422,1,4,20
15232,1,4,20
15832,1,4,20
17714,1,2,20
19220,1,4,20
20188,1,4,20
20500,1,2,20
21468,1,2,20
22386,1,2,20
23540,1,2,20
24158,1,4,20
24568,1,4,20
25236,1,4,20
26816,1,1,20
28208,1,4,20
29348,1,2,20
4276,1,4,20
4386,1,4,20
5264,1,4,20
5374,1,2,20
5512,1,4,20
5520,2,4,20
5712,1,2,20
5870,1,4,20
6908,1,4,20
7706,1,2,20
8290,1,2,20
9316,1,2,20
9820,1,2,20
9916,1,2,20
15282,1,1,19.99
18868,1,1,19.99
23066,1,1,19.99
29664,1,1,19.99
28916,1,1,19.95
29910,1,1,19.95
8748,1,1,19.95
5236,1,1,19.75
30486,1,4,19.52
13952,1,10,19.5
3358,1,3,19.5
8864,1,3,19.5
28988,1,4,19.3
10644,1,2,19.2
6380,1,2,19.2
16214,1,2,19
8868,1,1,19
9494,1,2,19
860,2,2,18.99
26596,1,2,18.9
28422,1,5,18.75
19208,1,1,18.4
27392,1,1,18.25
628,1,3,18.12
19678,1,2,18
21342,1,2,18
2378,1,3,17.95
26518,1,2,17.92
19002,1,2,17.9
28678,1,2,17.75
692,1,1,17.73
14446,2,2,17.5
8848,1,2,17.5
1828,1,1,17.32
11232,1,1,17
13788,1,2,17
1700,1,2,17
20020,1,1,17
2228,1,2,17
28702,1,2,17
11748,1,2,16.95
27060,1,2,16.95
20266,2,2,16.72
10596,1,1,16.5
11982,1,2,16.5
19752,1,1,16.5
21768,1,1,16.5
24198,1,1,16.5
25396,1,1,16.5
2726,1,1,16.5
916,1,2,16.45
7092,1,1,16.3
19232,1,2,16.24
24980,1,1,16.24
28794,1,1,16.24
4884,1,1,16.24
4184,1,1,16.14
12592,1,2,16.09
16338,1,1,16.09
11974,1,2,16
16146,1,2,16
17798,1,2,16
21752,1,2,16
2264,1,3,16
23046,1,2,16
3386,1,2,16
9128,1,2,16
24142,1,2,15.9
25836,1,2,15.71
12190,1,1,15.5
24154,1,1,15.5
24214,1,2,15.5
26550,1,1,15.5
